,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_Rank,rapm_def_Rank,rapm__intercept,display_first_last
259,203148.0,-0.73,0.07,-0.66,366.0,412.0,205.0,103.6,Brian Roberts
260,203186.0,-0.41,0.35,-0.06,240.0,347.0,128.0,103.6,Willie Reed
261,203200.0,-0.12,0.94,0.82,86.0,250.0,42.0,103.6,Justin Holiday
262,203210.0,-0.19,0.68,0.49,129.0,278.0,75.0,103.6,JaMychal Green
263,203382.0,0.24,1.62,1.86,26.0,149.0,6.0,103.6,Aron Baynes
264,203457.0,-0.12,-0.08,-0.2,285.0,251.0,273.0,103.6,Nerlens Noel
265,203458.0,-1.52,-0.58,-2.1,474.0,478.0,404.0,103.6,Alex Len
266,203459.0,-0.28,-1.36,-1.65,462.0,305.0,476.0,103.6,Allen Crabbe
267,203460.0,0.31,1.02,1.33,44.0,137.0,33.0,103.6,Andre Roberson
268,203461.0,0.27,-1.13,-0.87,401.0,143.0,465.0,103.6,Anthony Bennett
269,203462.0,-0.12,-0.4,-0.52,352.0,247.0,364.0,103.6,Archie Goodwin
270,203463.0,-0.81,-0.16,-0.98,413.0,424.0,301.0,103.6,Ben McLemore
271,203468.0,1.13,-0.11,1.02,70.0,42.0,289.0,103.6,CJ McCollum
272,203469.0,0.59,1.52,2.1,21.0,88.0,9.0,103.6,Cody Zeller
273,203471.0,-0.34,-0.36,-0.7,375.0,325.0,352.0,103.6,Dennis Schroder
274,203473.0,-0.36,1.66,1.3,48.0,332.0,5.0,103.6,Dewayne Dedmon
275,203476.0,0.14,0.37,0.51,126.0,170.0,121.0,103.6,Gorgui Dieng
276,203477.0,-0.85,-0.4,-1.25,445.0,430.0,363.0,103.6,Isaiah Canaan
277,203481.0,0.18,-0.63,-0.45,341.0,158.0,410.0,103.6,Jeff Withey
278,203482.0,-0.86,0.48,-0.38,331.0,431.0,104.0,103.6,Kelly Olynyk
279,203484.0,0.01,-0.31,-0.3,311.0,203.0,338.0,103.6,Kentavious Caldwell-Pope
280,203486.0,1.48,-1.15,0.33,149.0,31.0,466.0,103.6,Mason Plumlee
281,203487.0,-0.14,0.34,0.2,170.0,259.0,131.0,103.6,Michael Carter-Williams
282,203488.0,-0.51,-0.39,-0.9,405.0,368.0,358.0,103.6,Mike Muscala
283,203490.0,0.62,-0.1,0.51,125.0,82.0,285.0,103.6,Otto Porter Jr.
284,203493.0,0.12,0.42,0.54,121.0,172.0,116.0,103.6,Reggie Bullock
285,203496.0,-1.03,1.71,0.67,108.0,447.0,4.0,103.6,Robert Covington
286,203497.0,0.76,2.2,2.97,6.0,68.0,1.0,103.6,Rudy Gobert
287,203498.0,-0.34,-0.14,-0.48,348.0,326.0,297.0,103.6,Shabazz Muhammad
288,203500.0,0.53,0.43,0.96,73.0,100.0,111.0,103.6,Steven Adams
289,203501.0,1.35,0.51,1.85,27.0,36.0,95.0,103.6,Tim Hardaway Jr.
290,203503.0,-0.21,-0.67,-0.88,404.0,287.0,418.0,103.6,Tony Snell
291,203504.0,-1.09,-0.59,-1.68,465.0,457.0,405.0,103.6,Trey Burke
292,203506.0,-0.66,2.18,1.52,39.0,398.0,2.0,103.6,Victor Oladipo
293,203507.0,0.11,0.59,0.7,106.0,175.0,84.0,103.6,Giannis Antetokounmpo
294,203510.0,0.34,0.49,0.83,85.0,133.0,102.0,103.6,Pierre Jackson
295,203512.0,0.56,0.13,0.69,107.0,95.0,185.0,103.6,Lucas Nogueira
296,203516.0,-0.18,1.23,1.04,67.0,276.0,20.0,103.6,James Ennis III
297,203518.0,0.53,-0.71,-0.18,278.0,99.0,424.0,103.6,Alex Abrines
298,203521.0,-0.18,-0.38,-0.56,354.0,277.0,357.0,103.6,Matthew Dellavedova
299,203524.0,-0.21,0.93,0.72,100.0,286.0,43.0,103.6,Solomon Hill
300,203526.0,0.38,0.86,1.24,53.0,126.0,50.0,103.6,Raul Neto
301,203527.0,-0.12,0.38,0.26,160.0,249.0,120.0,103.6,Ryan Kelly
302,203530.0,-0.4,-0.36,-0.75,383.0,343.0,351.0,103.6,Joffrey Lauvergne
303,203546.0,-0.65,-0.25,-0.9,406.0,396.0,320.0,103.6,Ian Clark
304,203552.0,0.22,0.06,0.28,157.0,152.0,208.0,103.6,Seth Curry
305,203584.0,0.5,0.23,0.72,99.0,107.0,162.0,103.6,Troy Daniels
306,203585.0,-0.15,0.31,0.16,177.0,262.0,145.0,103.6,Rodney McGruder
307,203613.0,-0.48,1.62,1.13,57.0,358.0,7.0,103.6,Jonathon Simmons
308,203894.0,0.74,-0.21,0.52,123.0,71.0,311.0,103.6,Shabazz Napier
309,203895.0,-0.09,-0.67,-0.76,385.0,232.0,420.0,103.6,Jordan McRae
310,203897.0,-0.66,-0.45,-1.11,426.0,399.0,376.0,103.6,Zach LaVine
311,203898.0,-0.3,0.44,0.15,184.0,311.0,110.0,103.6,Tyler Ennis
312,203901.0,0.47,-0.3,0.17,173.0,113.0,334.0,103.6,Elfrid Payton
313,203902.0,-0.6,-0.79,-1.4,455.0,384.0,441.0,103.6,Semaj Christon
314,203903.0,-0.77,-1.38,-2.14,477.0,418.0,477.0,103.6,Jordan Clarkson
315,203909.0,0.0,-0.44,-0.43,338.0,205.0,371.0,103.6,KJ McDaniels
316,203912.0,-0.03,0.05,0.02,215.0,213.0,216.0,103.6,CJ Wilcox
317,203914.0,2.49,-2.08,0.41,141.0,6.0,486.0,103.6,Gary Harris
318,203915.0,-0.37,0.33,-0.04,237.0,334.0,136.0,103.6,Spencer Dinwiddie
319,203917.0,0.22,-0.25,-0.03,234.0,151.0,316.0,103.6,Nik Stauskas
320,203918.0,0.12,-0.16,-0.04,238.0,173.0,300.0,103.6,Rodney Hood
321,203922.0,-0.7,-0.03,-0.73,380.0,406.0,246.0,103.6,Glenn Robinson III
322,203923.0,-0.3,-0.27,-0.58,357.0,313.0,325.0,103.6,James Young
323,203924.0,-0.86,-0.73,-1.59,460.0,432.0,430.0,103.6,Jerami Grant
324,203925.0,-1.51,-0.23,-1.74,467.0,477.0,313.0,103.6,Joe Harris
325,203926.0,0.38,-0.98,-0.6,361.0,125.0,457.0,103.6,Doug McDermott
326,203930.0,-0.11,-0.12,-0.23,293.0,242.0,293.0,103.6,Sean Kilpatrick
327,203932.0,0.86,-0.35,0.5,127.0,65.0,349.0,103.6,Aaron Gordon
328,203933.0,0.56,-1.18,-0.61,362.0,94.0,470.0,103.6,T.J. Warren
