key_col,season,game_date,game_id,team_abbrev,team_id,toc,toc_string,points_for,points_against,is_win,fgm,fga,tpm,tpa,ftm,fta,oreb,dreb,ast,tov,stl,blk,shots_blocked,pf,pf_drawn,points,plus_minus,is_home
1610612739216000012016-10-25,2017,2016-10-25,21600001,CLE,1610612739,2880,48:00,117,88,1,45,94,13,35,14,19,11,40,31,14,6,5,6,22,23,,29,1
1610612752216000012016-10-25,2017,2016-10-25,21600001,NYK,1610612752,2880,48:00,88,117,0,32,87,9,27,15,20,13,29,17,18,12,6,5,23,22,,-29,0
1610612757216000022016-10-25,2017,2016-10-25,21600002,POR,1610612757,2880,48:00,113,104,1,39,75,13,19,22,22,5,29,22,12,9,3,5,20,19,,9,1
1610612762216000022016-10-25,2017,2016-10-25,21600002,UTA,1610612762,2880,48:00,104,113,0,40,82,8,24,16,16,6,25,19,11,5,5,3,19,20,,-9,0
1610612744216000032016-10-25,2017,2016-10-25,21600003,GSW,1610612744,2880,48:00,100,129,0,40,85,7,33,13,18,8,27,24,16,13,6,3,19,19,,-29,1
1610612759216000032016-10-25,2017,2016-10-25,21600003,SAS,1610612759,2880,48:00,129,100,1,47,98,12,24,23,26,21,34,25,13,11,3,6,19,19,,29,0
1610612748216000042016-10-26,2017,2016-10-26,21600004,MIA,1610612748,2880,48:00,108,96,1,47,97,4,16,10,16,16,36,27,10,5,7,4,23,15,,12,0
1610612753216000042016-10-26,2017,2016-10-26,21600004,ORL,1610612753,2880,48:00,96,108,0,34,89,6,18,22,28,15,30,20,11,5,4,7,15,23,,-12,1
1610612742216000052016-10-26,2017,2016-10-26,21600005,DAL,1610612742,3180,53:00,121,130,0,45,104,18,48,13,18,10,39,26,15,11,8,6,27,23,,-9,0
1610612754216000052016-10-26,2017,2016-10-26,21600005,IND,1610612754,3180,53:00,130,121,1,47,93,10,19,26,34,8,44,30,16,8,6,8,23,27,,9,1
1610612738216000062016-10-26,2017,2016-10-26,21600006,BOS,1610612738,2880,48:00,122,117,1,48,89,11,32,15,18,12,35,36,19,8,9,3,20,19,,5,1
1610612751216000062016-10-26,2017,2016-10-26,21600006,BKN,1610612751,2880,48:00,117,122,0,43,97,15,44,16,20,15,29,22,16,13,3,9,19,20,,-5,0
1610612761216000072016-10-26,2017,2016-10-26,21600007,TOR,1610612761,2880,48:00,109,91,1,41,86,3,18,24,29,14,37,17,11,8,0,0,22,24,,18,1
1610612765216000072016-10-26,2017,2016-10-26,21600007,DET,1610612765,2880,48:00,91,109,0,35,84,4,22,17,22,8,32,17,13,8,0,0,24,22,,-18,0
1610612749216000082016-10-26,2017,2016-10-26,21600008,MIL,1610612749,2880,48:00,96,107,0,39,92,3,16,15,20,10,36,23,8,5,5,10,23,22,,-11,1
1610612766216000082016-10-26,2017,2016-10-26,21600008,CHA,1610612766,2880,48:00,107,96,1,40,89,7,23,20,24,11,40,27,10,4,10,5,22,23,,11,0
1610612750216000092016-10-26,2017,2016-10-26,21600009,MIN,1610612750,2880,48:00,98,102,0,36,86,6,18,20,29,15,30,20,10,6,5,11,23,26,,-4,0
1610612763216000092016-10-26,2017,2016-10-26,21600009,MEM,1610612763,2880,48:00,102,98,1,36,80,11,24,19,27,11,34,19,13,6,11,5,26,23,,4,1
1610612740216000102016-10-26,2017,2016-10-26,21600010,NOP,1610612740,2880,48:00,102,107,0,38,92,3,19,23,26,5,28,31,11,7,5,4,29,23,,-5,1
1610612743216000102016-10-26,2017,2016-10-26,21600010,DEN,1610612743,2880,48:00,107,102,1,37,83,8,24,25,33,11,47,18,24,16,4,5,23,29,,5,0
1610612755216000112016-10-26,2017,2016-10-26,21600011,PHI,1610612755,2880,48:00,97,103,0,36,84,7,24,18,25,5,38,21,13,7,10,3,22,23,,-6,1
1610612760216000112016-10-26,2017,2016-10-26,21600011,OKC,1610612760,2880,48:00,103,97,1,39,94,6,22,19,26,13,40,19,10,5,3,10,23,22,,6,0
1610612756216000122016-10-26,2017,2016-10-26,21600012,PHX,1610612756,2880,48:00,94,113,0,36,77,4,16,18,27,10,31,20,18,5,3,5,30,20,,-19,1
1610612758216000122016-10-26,2017,2016-10-26,21600012,SAC,1610612758,2880,48:00,113,94,1,44,86,6,21,19,26,10,31,24,13,6,5,3,20,30,,19,0
1610612745216000132016-10-26,2017,2016-10-26,21600013,HOU,1610612745,2880,48:00,114,120,0,44,86,7,29,19,27,10,29,29,14,10,1,4,22,24,,-6,0
1610612747216000132016-10-26,2017,2016-10-26,21600013,LAL,1610612747,2880,48:00,120,114,1,45,89,12,35,18,22,11,28,21,15,10,4,1,24,22,,6,1
1610612737216000142016-10-27,2017,2016-10-27,21600014,ATL,1610612737,2880,48:00,114,99,1,44,88,12,26,14,18,14,38,28,21,14,7,4,20,20,,15,1
1610612764216000142016-10-27,2017,2016-10-27,21600014,WAS,1610612764,2880,48:00,99,114,0,40,94,6,20,13,18,12,28,25,19,13,4,7,20,20,,-15,0
1610612738216000152016-10-27,2017,2016-10-27,21600015,BOS,1610612738,2880,48:00,99,105,0,38,76,8,23,15,24,3,33,22,11,5,6,1,25,21,,-6,0
1610612741216000152016-10-27,2017,2016-10-27,21600015,CHI,1610612741,2880,48:00,105,99,1,36,92,11,25,22,30,18,37,25,12,6,1,6,21,25,,6,1
1610612758216000162016-10-27,2017,2016-10-27,21600016,SAC,1610612758,2880,48:00,94,102,0,28,70,6,20,32,38,6,34,22,15,10,0,8,21,26,,-8,1
1610612759216000162016-10-27,2017,2016-10-27,21600016,SAS,1610612759,2880,48:00,102,94,1,36,79,6,18,24,27,9,31,23,9,7,8,0,26,21,,8,0
1610612746216000172016-10-27,2017,2016-10-27,21600017,LAC,1610612746,2880,48:00,114,106,1,37,91,8,29,32,46,15,33,12,7,4,4,4,25,34,,8,0
1610612757216000172016-10-27,2017,2016-10-27,21600017,POR,1610612757,2880,48:00,106,114,0,39,85,4,18,24,32,9,39,18,14,10,4,4,34,25,,-8,1
1610612739216000182016-10-28,2017,2016-10-28,21600018,CLE,1610612739,2880,48:00,94,91,1,33,79,12,32,16,22,9,31,20,17,9,3,3,15,21,,3,0
1610612761216000182016-10-28,2017,2016-10-28,21600018,TOR,1610612761,2880,48:00,91,94,0,35,90,4,16,17,18,18,33,12,18,8,3,3,21,15,,-3,1
1610612751216000192016-10-28,2017,2016-10-28,21600019,BKN,1610612751,2880,48:00,103,94,1,38,87,10,33,17,20,12,40,20,16,7,4,6,24,22,,9,1
1610612754216000192016-10-28,2017,2016-10-28,21600019,IND,1610612754,2880,48:00,94,103,0,37,98,7,24,13,20,14,35,22,13,6,6,4,22,24,,-9,0
1610612753216000202016-10-28,2017,2016-10-28,21600020,ORL,1610612753,2880,48:00,82,108,0,33,95,8,26,8,12,14,30,20,9,8,3,4,13,12,,-26,0
1610612765216000202016-10-28,2017,2016-10-28,21600020,DET,1610612765,2880,48:00,108,82,1,48,95,7,19,5,6,9,44,27,12,8,4,3,12,13,,26,1
1610612756216000212016-10-28,2017,2016-10-28,21600021,PHX,1610612756,3180,53:00,110,113,0,42,94,5,28,21,32,7,37,15,15,11,3,3,29,24,,-3,0
1610612760216000212016-10-28,2017,2016-10-28,21600021,OKC,1610612760,3180,53:00,113,110,1,40,96,5,21,28,38,14,43,13,22,11,3,3,24,29,,3,1
1610612748216000222016-10-28,2017,2016-10-28,21600022,MIA,1610612748,2880,48:00,91,97,0,32,86,14,34,13,20,11,41,19,19,10,4,9,23,22,,-6,1
1610612766216000222016-10-28,2017,2016-10-28,21600022,CHA,1610612766,2880,48:00,97,91,1,35,92,7,22,20,24,13,36,20,8,2,9,4,22,23,,6,0
1610612742216000232016-10-28,2017,2016-10-28,21600023,DAL,1610612742,2880,48:00,98,106,0,35,80,8,29,20,24,6,28,13,9,6,2,1,21,22,,-8,1
1610612745216000232016-10-28,2017,2016-10-28,21600023,HOU,1610612745,2880,48:00,106,98,1,33,70,15,32,25,31,5,36,21,18,11,1,2,22,21,,8,0
1610612747216000242016-10-28,2017,2016-10-28,21600024,LAL,1610612747,2880,48:00,89,96,0,32,84,9,23,16,21,11,32,16,14,4,7,7,29,19,,-7,0
1610612762216000242016-10-28,2017,2016-10-28,21600024,UTA,1610612762,2880,48:00,96,89,1,31,75,6,25,28,40,13,34,14,14,6,7,7,19,29,,7,1
1610612740216000252016-10-28,2017,2016-10-28,21600025,NOP,1610612740,2880,48:00,114,122,0,47,100,5,22,15,23,12,37,29,13,8,5,2,24,22,,-8,1
1610612744216000252016-10-28,2017,2016-10-28,21600025,GSW,1610612744,2880,48:00,122,114,1,44,91,9,28,25,28,9,40,32,14,8,2,5,22,24,,8,0
1610612737216000262016-10-29,2017,2016-10-29,21600026,ATL,1610612737,2880,48:00,104,72,1,42,85,5,20,15,22,6,41,31,12,9,7,5,15,20,,32,0
1610612755216000262016-10-29,2017,2016-10-29,21600026,PHI,1610612755,2880,48:00,72,104,0,28,80,5,18,11,15,4,35,16,20,11,5,7,20,15,,-32,1
1610612738216000272016-10-29,2017,2016-10-29,21600027,BOS,1610612738,2880,48:00,104,98,1,39,81,15,31,11,17,4,38,25,13,8,6,6,27,17,,6,0
1610612766216000272016-10-29,2017,2016-10-29,21600027,CHA,1610612766,2880,48:00,98,104,0,32,79,9,32,25,33,6,32,22,8,4,6,6,17,27,,-6,1
1610612752216000282016-10-29,2017,2016-10-29,21600028,NYK,1610612752,2880,48:00,111,104,1,40,76,6,21,25,39,6,35,24,12,3,4,2,25,31,,7,1
1610612763216000282016-10-29,2017,2016-10-29,21600028,MEM,1610612763,2880,48:00,104,111,0,37,86,9,25,21,26,11,29,19,12,4,2,4,31,25,,-7,0
1610612739216000292016-10-29,2017,2016-10-29,21600029,CLE,1610612739,2880,48:00,105,99,1,36,88,11,37,22,30,13,27,17,9,6,6,5,27,24,,6,1
1610612753216000292016-10-29,2017,2016-10-29,21600029,ORL,1610612753,2880,48:00,99,105,0,38,84,8,28,15,26,13,37,21,20,8,5,6,24,27,,-6,0
1610612741216000302016-10-29,2017,2016-10-29,21600030,CHI,1610612741,2880,48:00,118,101,1,45,86,9,21,19,21,13,34,34,12,8,6,7,15,16,,17,1
1610612754216000302016-10-29,2017,2016-10-29,21600030,IND,1610612754,2880,48:00,101,118,0,43,88,7,18,8,9,8,25,34,13,8,7,6,16,15,,-17,0
1610612749216000312016-10-29,2017,2016-10-29,21600031,MIL,1610612749,2880,48:00,110,108,1,41,88,8,22,20,24,8,36,25,14,12,5,6,24,22,,2,1
1610612751216000312016-10-29,2017,2016-10-29,21600031,BKN,1610612751,2880,48:00,108,110,0,37,84,11,34,23,28,11,34,23,18,14,6,5,22,24,,-2,0
1610612740216000322016-10-29,2017,2016-10-29,21600032,NOP,1610612740,2880,48:00,79,98,0,32,86,4,22,11,15,7,38,14,9,6,5,7,19,15,,-19,0
1610612759216000322016-10-29,2017,2016-10-29,21600032,SAS,1610612759,2880,48:00,98,79,1,35,83,10,24,18,23,6,44,21,9,6,7,5,15,19,,19,1
1610612743216000332016-10-29,2017,2016-10-29,21600033,DEN,1610612743,3180,53:00,113,115,0,38,100,6,23,31,39,16,45,19,17,10,5,8,21,31,,-2,1
1610612757216000332016-10-29,2017,2016-10-29,21600033,POR,1610612757,3180,53:00,115,113,1,45,98,10,32,15,21,5,40,23,15,10,8,5,31,21,,2,0
1610612750216000342016-10-29,2017,2016-10-29,21600034,MIN,1610612750,2880,48:00,103,106,0,37,70,7,22,22,31,7,29,19,11,6,5,5,26,24,,-3,0
1610612758216000342016-10-29,2017,2016-10-29,21600034,SAC,1610612758,2880,48:00,106,103,1,39,85,9,26,19,25,11,20,24,13,6,5,5,24,26,,3,1
1610612746216000352016-10-30,2017,2016-10-30,21600035,LAC,1610612746,2880,48:00,88,75,1,34,83,6,27,14,20,14,35,17,13,8,4,2,14,22,,13,1
1610612762216000352016-10-30,2017,2016-10-30,21600035,UTA,1610612762,2880,48:00,75,88,0,29,73,7,19,10,13,7,36,18,18,8,2,4,22,14,,-13,0
1610612744216000362016-10-30,2017,2016-10-30,21600036,GSW,1610612744,2880,48:00,106,100,1,35,83,8,29,28,33,7,36,27,15,10,5,6,23,26,,6,0
1610612756216000362016-10-30,2017,2016-10-30,21600036,PHX,1610612756,2880,48:00,100,106,0,37,90,8,23,18,25,11,39,19,11,6,6,5,26,23,,-6,1
1610612748216000372016-10-30,2017,2016-10-30,21600037,MIA,1610612748,2880,48:00,99,106,0,37,80,7,20,18,26,6,30,19,12,4,6,5,24,26,,-7,1
1610612759216000372016-10-30,2017,2016-10-30,21600037,SAS,1610612759,2880,48:00,106,99,1,37,82,10,18,22,26,14,30,20,15,7,5,6,26,24,,7,0
1610612749216000382016-10-30,2017,2016-10-30,21600038,MIL,1610612749,2880,48:00,83,98,0,34,87,4,17,11,14,10,30,22,12,8,4,4,17,14,,-15,0
1610612765216000382016-10-30,2017,2016-10-30,21600038,DET,1610612765,2880,48:00,98,83,1,39,88,5,20,15,20,16,42,23,15,10,4,4,14,17,,15,1
1610612763216000392016-10-30,2017,2016-10-30,21600039,MEM,1610612763,3180,53:00,112,103,1,39,88,15,31,19,26,11,36,24,14,8,2,4,27,23,,9,1
1610612764216000392016-10-30,2017,2016-10-30,21600039,WAS,1610612764,3180,53:00,103,112,0,38,86,5,25,22,25,8,32,19,14,9,4,2,23,27,,-9,0
1610612747216000402016-10-30,2017,2016-10-30,21600040,LAL,1610612747,2880,48:00,96,113,0,35,87,7,32,19,24,11,30,20,21,15,2,6,20,22,,-17,0
1610612760216000402016-10-30,2017,2016-10-30,21600040,OKC,1610612760,2880,48:00,113,96,1,45,95,9,26,14,17,10,35,29,19,15,6,2,22,20,,17,1
1610612742216000412016-10-30,2017,2016-10-30,21600041,DAL,1610612742,2880,48:00,92,93,0,32,86,11,31,17,20,13,30,17,9,5,3,4,17,22,,-1,0
1610612745216000412016-10-30,2017,2016-10-30,21600041,HOU,1610612745,2880,48:00,93,92,1,34,81,11,31,14,21,9,38,16,17,8,4,3,22,17,,1,1
1610612743216000422016-10-31,2017,2016-10-31,21600042,DEN,1610612743,2880,48:00,102,105,0,33,81,9,22,27,35,11,35,14,8,7,9,9,20,29,,-3,0
1610612761216000422016-10-31,2017,2016-10-31,21600042,TOR,1610612761,2880,48:00,105,102,1,41,88,4,16,19,25,11,32,16,7,2,9,9,29,20,,3,1
1610612741216000432016-10-31,2017,2016-10-31,21600043,CHI,1610612741,2880,48:00,118,88,1,45,89,11,27,17,18,13,45,26,19,12,9,3,22,15,,30,0
1610612751216000432016-10-31,2017,2016-10-31,21600043,BKN,1610612751,2880,48:00,88,118,0,33,96,5,31,17,21,16,29,14,15,9,3,9,15,22,,-30,1
1610612737216000442016-10-31,2017,2016-10-31,21600044,ATL,1610612737,2880,48:00,106,95,1,33,79,11,30,29,47,17,26,24,13,10,6,6,21,34,,11,1
1610612758216000442016-10-31,2017,2016-10-31,21600044,SAC,1610612758,2880,48:00,95,106,0,36,75,10,23,13,19,6,32,26,19,11,6,6,34,21,,-11,0
1610612746216000452016-10-31,2017,2016-10-31,21600045,LAC,1610612746,2880,48:00,116,98,1,40,80,6,16,30,38,5,39,21,16,11,4,0,23,33,,18,1
1610612756216000452016-10-31,2017,2016-10-31,21600045,PHX,1610612756,2880,48:00,98,116,0,35,84,5,15,23,31,10,34,19,20,8,0,4,33,23,,-18,0
1610612753216000462016-11-01,2017,2016-11-01,21600046,ORL,1610612753,2880,48:00,103,101,1,42,93,6,25,13,17,12,27,29,10,5,6,8,15,21,,2,0
1610612755216000462016-11-01,2017,2016-11-01,21600046,PHI,1610612755,2880,48:00,101,103,0,40,81,9,20,12,16,7,35,28,15,7,8,6,21,15,,-2,1
1610612739216000472016-11-01,2017,2016-11-01,21600047,CLE,1610612739,2880,48:00,128,120,1,43,83,16,32,26,31,12,34,22,11,5,2,2,21,25,,8,1
1610612745216000472016-11-01,2017,2016-11-01,21600047,HOU,1610612745,2880,48:00,120,128,0,43,90,17,44,17,25,11,21,30,7,4,2,2,25,21,,-8,0
1610612747216000482016-11-01,2017,2016-11-01,21600048,LAL,1610612747,2880,48:00,108,115,0,40,89,6,28,22,25,11,33,14,19,10,2,8,25,20,,-7,0
1610612754216000482016-11-01,2017,2016-11-01,21600048,IND,1610612754,2880,48:00,115,108,1,41,87,10,28,23,29,11,32,19,15,8,8,2,20,25,,7,1
1610612748216000492016-11-01,2017,2016-11-01,21600049,MIA,1610612748,3180,53:00,108,96,1,37,86,13,29,21,29,6,39,24,15,4,9,4,22,24,,12,1
1610612758216000492016-11-01,2017,2016-11-01,21600049,SAC,1610612758,3180,53:00,96,108,0,34,89,5,23,23,27,9,44,12,15,10,4,9,24,22,,-12,0
1610612752216000502016-11-01,2017,2016-11-01,21600050,NYK,1610612752,2880,48:00,89,102,0,35,86,7,22,12,15,8,35,18,11,7,9,5,20,16,,-13,0
1610612765216000502016-11-01,2017,2016-11-01,21600050,DET,1610612765,2880,48:00,102,89,1,41,89,8,13,12,21,10,38,19,10,6,5,9,16,20,,13,1
1610612740216000512016-11-01,2017,2016-11-01,21600051,NOP,1610612740,2880,48:00,113,117,0,36,82,9,26,32,41,9,33,23,13,9,5,5,17,27,,-4,1
1610612749216000512016-11-01,2017,2016-11-01,21600051,MIL,1610612749,2880,48:00,117,113,1,44,91,10,32,19,21,11,38,30,15,13,5,5,27,17,,4,0
1610612750216000522016-11-01,2017,2016-11-01,21600052,MIN,1610612750,2880,48:00,116,80,1,43,78,12,20,18,23,11,39,29,21,17,5,4,22,23,,36,1
1610612763216000522016-11-01,2017,2016-11-01,21600052,MEM,1610612763,2880,48:00,80,116,0,27,75,4,24,22,29,8,24,10,20,10,4,5,23,22,,-36,0
1610612759216000532016-11-01,2017,2016-11-01,21600053,SAS,1610612759,2880,48:00,91,106,0,33,76,6,20,19,21,4,30,19,9,5,5,8,16,21,,-15,1
1610612762216000532016-11-01,2017,2016-11-01,21600053,UTA,1610612762,2880,48:00,106,91,1,38,76,15,31,15,18,2,37,22,10,6,8,5,21,16,,15,0
1610612744216000542016-11-01,2017,2016-11-01,21600054,GSW,1610612744,2880,48:00,127,104,1,50,89,10,26,17,23,7,38,36,16,12,4,4,19,17,,23,0
1610612757216000542016-11-01,2017,2016-11-01,21600054,POR,1610612757,2880,48:00,104,127,0,37,86,14,39,16,21,6,26,23,18,14,4,4,17,19,,-23,1
1610612761216000552016-11-02,2017,2016-11-02,21600055,TOR,1610612761,2880,48:00,113,103,1,43,77,10,25,17,25,4,27,21,13,8,2,5,24,21,,10,0
1610612764216000552016-11-02,2017,2016-11-02,21600055,WAS,1610612764,2880,48:00,103,113,0,42,72,3,10,16,24,6,30,21,20,16,5,2,21,24,,-10,1
1610612755216000562016-11-02,2017,2016-11-02,21600056,PHI,1610612755,2880,48:00,93,109,0,34,86,12,38,13,15,8,29,23,17,8,2,3,25,17,,-16,0
1610612766216000562016-11-02,2017,2016-11-02,21600056,CHA,1610612766,2880,48:00,109,93,1,39,79,13,34,18,26,9,35,25,15,8,3,2,17,25,,16,1
1610612751216000572016-11-02,2017,2016-11-02,21600057,BKN,1610612751,2880,48:00,109,101,1,41,76,13,27,14,17,5,40,27,19,11,3,6,23,17,,8,1
1610612765216000572016-11-02,2017,2016-11-02,21600057,DET,1610612765,2880,48:00,101,109,0,37,88,9,25,18,21,10,28,21,13,10,6,3,17,23,,-8,0
1610612745216000582016-11-02,2017,2016-11-02,21600058,HOU,1610612745,2880,48:00,118,99,1,42,89,15,40,19,27,19,35,25,19,10,8,6,22,23,,19,0
1610612752216000582016-11-02,2017,2016-11-02,21600058,NYK,1610612752,2880,48:00,99,118,0,37,85,8,20,17,25,7,27,18,16,12,6,8,23,22,,-19,1
1610612737216000592016-11-02,2017,2016-11-02,21600059,ATL,1610612737,2880,48:00,116,123,0,41,85,11,32,23,29,10,27,30,18,11,1,9,19,25,,-7,1
1610612747216000592016-11-02,2017,2016-11-02,21600059,LAL,1610612747,2880,48:00,123,116,1,48,90,9,22,18,20,11,31,24,15,10,9,1,25,19,,7,0
1610612740216000602016-11-02,2017,2016-11-02,21600060,NOP,1610612740,3180,53:00,83,89,0,30,81,11,34,12,16,5,38,17,21,12,9,5,26,23,,-6,0
1610612763216000602016-11-02,2017,2016-11-02,21600060,MEM,1610612763,3180,53:00,89,83,1,33,94,8,27,15,20,13,39,20,17,8,5,9,23,26,,6,1
1610612738216000612016-11-02,2017,2016-11-02,21600061,BOS,1610612738,2880,48:00,107,100,1,41,87,14,32,11,17,10,29,28,12,7,4,7,24,19,,7,1
1610612741216000612016-11-02,2017,2016-11-02,21600061,CHI,1610612741,2880,48:00,100,107,0,35,81,7,20,23,31,15,34,21,19,10,7,4,19,24,,-7,0
1610612742216000622016-11-02,2017,2016-11-02,21600062,DAL,1610612742,2880,48:00,81,97,0,33,77,7,26,8,10,6,30,18,12,6,4,3,20,22,,-16,0
1610612762216000622016-11-02,2017,2016-11-02,21600062,UTA,1610612762,2880,48:00,97,81,1,35,77,12,25,15,26,7,34,18,12,4,3,4,22,20,,16,1
1610612756216000632016-11-02,2017,2016-11-02,21600063,PHX,1610612756,3180,53:00,118,115,1,44,103,5,16,25,30,14,45,15,12,8,5,8,20,23,,3,1
1610612757216000632016-11-02,2017,2016-11-02,21600063,POR,1610612757,3180,53:00,115,118,0,42,101,12,33,19,21,10,43,25,14,10,8,5,23,20,,-3,0
1610612746216000642016-11-02,2017,2016-11-02,21600064,LAC,1610612746,2880,48:00,83,85,0,34,87,7,22,8,18,8,33,22,17,8,5,4,19,24,,-2,1
1610612760216000642016-11-02,2017,2016-11-02,21600064,OKC,1610612760,2880,48:00,85,83,1,34,84,5,20,12,20,10,42,14,21,13,4,5,24,19,,2,0
1610612753216000652016-11-03,2017,2016-11-03,21600065,ORL,1610612753,2880,48:00,102,94,1,38,84,10,30,16,23,13,31,24,14,8,4,1,15,23,,8,1
1610612758216000652016-11-03,2017,2016-11-03,21600065,SAC,1610612758,2880,48:00,94,102,0,38,80,7,18,11,17,11,28,17,14,5,1,4,23,15,,-8,0
1610612749216000662016-11-03,2017,2016-11-03,21600066,MIL,1610612749,2880,48:00,125,107,1,47,82,12,27,19,24,12,29,32,21,14,6,4,23,24,,18,1
1610612754216000662016-11-03,2017,2016-11-03,21600066,IND,1610612754,2880,48:00,107,125,0,38,81,10,23,21,27,10,22,29,21,10,4,6,24,23,,-18,0
1610612743216000672016-11-03,2017,2016-11-03,21600067,DEN,1610612743,2880,48:00,102,99,1,39,81,6,22,18,25,7,37,24,20,8,2,4,24,22,,3,0
1610612750216000672016-11-03,2017,2016-11-03,21600067,MIN,1610612750,2880,48:00,99,102,0,35,88,9,22,20,25,14,29,20,16,10,4,2,22,24,,-3,1
1610612738216000682016-11-03,2017,2016-11-03,21600068,BOS,1610612738,2880,48:00,122,128,0,46,96,11,32,19,22,10,29,25,8,6,6,6,29,20,,-6,0
1610612739216000682016-11-03,2017,2016-11-03,21600068,CLE,1610612739,2880,48:00,128,122,1,41,84,14,34,32,37,7,35,24,8,4,6,6,20,29,,6,1
1610612744216000692016-11-03,2017,2016-11-03,21600069,GSW,1610612744,2880,48:00,122,96,1,46,89,14,30,16,20,15,31,27,15,8,14,6,18,20,,26,1
1610612760216000692016-11-03,2017,2016-11-03,21600069,OKC,1610612760,2880,48:00,96,122,0,35,87,10,27,16,28,13,28,20,16,9,6,14,20,18,,-26,0
1610612737216000702016-11-04,2017,2016-11-04,21600070,ATL,1610612737,2880,48:00,92,95,0,32,83,5,25,23,36,10,37,22,18,7,3,3,24,23,,-3,0
1610612764216000702016-11-04,2017,2016-11-04,21600070,WAS,1610612764,2880,48:00,95,92,1,31,80,5,20,28,35,11,35,13,19,12,3,3,23,24,,3,1
1610612748216000712016-11-04,2017,2016-11-04,21600071,MIA,1610612748,2880,48:00,87,96,0,34,88,9,28,10,15,12,31,19,13,7,5,5,21,16,,-9,0
1610612761216000712016-11-04,2017,2016-11-04,21600071,TOR,1610612761,2880,48:00,96,87,1,37,84,6,25,16,18,13,37,14,15,10,5,5,16,21,,9,1
1610612751216000722016-11-04,2017,2016-11-04,21600072,BKN,1610612751,2880,48:00,95,99,0,35,87,9,36,16,21,7,39,20,15,7,4,3,22,18,,-4,1
1610612766216000722016-11-04,2017,2016-11-04,21600072,CHA,1610612766,2880,48:00,99,95,1,36,86,10,30,17,24,7,42,24,16,12,3,4,18,22,,4,0
1610612741216000732016-11-04,2017,2016-11-04,21600073,CHI,1610612741,2880,48:00,104,117,0,37,84,8,23,22,27,15,27,15,12,7,4,2,17,24,,-13,1
1610612752216000732016-11-04,2017,2016-11-04,21600073,NYK,1610612752,2880,48:00,117,104,1,46,89,9,21,16,21,11,29,32,5,4,2,4,24,17,,13,0
1610612746216000742016-11-04,2017,2016-11-04,21600074,LAC,1610612746,2880,48:00,99,88,1,32,85,8,27,27,33,11,36,19,11,4,6,9,24,28,,11,0
1610612763216000742016-11-04,2017,2016-11-04,21600074,MEM,1610612763,2880,48:00,88,99,0,31,84,9,26,17,22,13,35,26,18,17,9,6,28,24,,-11,1
1610612740216000752016-11-04,2017,2016-11-04,21600075,NOP,1610612740,3180,53:00,111,112,0,43,94,10,30,15,28,6,37,28,8,7,13,2,21,27,,-1,1
1610612756216000752016-11-04,2017,2016-11-04,21600075,PHX,1610612756,3180,53:00,112,111,1,40,93,8,24,24,28,12,47,18,15,7,2,13,27,21,,1,0
1610612742216000762016-11-04,2017,2016-11-04,21600076,DAL,1610612742,2880,48:00,95,105,0,34,83,10,28,17,20,7,37,18,12,9,3,3,21,20,,-10,1
1610612757216000762016-11-04,2017,2016-11-04,21600076,POR,1610612757,2880,48:00,105,95,1,36,80,12,31,21,26,7,35,21,14,5,3,3,20,21,,10,0
1610612759216000772016-11-04,2017,2016-11-04,21600077,SAS,1610612759,2880,48:00,100,86,1,37,83,6,20,20,22,9,40,17,11,7,8,4,25,19,,14,0
1610612762216000772016-11-04,2017,2016-11-04,21600077,UTA,1610612762,2880,48:00,86,100,0,30,80,11,26,15,24,9,33,15,12,9,4,8,19,25,,-14,1
1610612744216000782016-11-04,2017,2016-11-04,21600078,GSW,1610612744,2880,48:00,97,117,0,39,86,5,32,14,20,9,31,26,20,9,3,5,14,20,,-20,0
1610612747216000782016-11-04,2017,2016-11-04,21600078,LAL,1610612747,2880,48:00,117,97,1,45,95,8,30,19,21,16,35,26,16,13,5,3,20,14,,20,1
1610612750216000792016-11-05,2017,2016-11-05,21600079,MIN,1610612750,2880,48:00,92,112,0,33,84,4,19,22,29,17,24,12,17,9,8,9,19,21,,-20,0
1610612760216000792016-11-05,2017,2016-11-05,21600079,OKC,1610612760,2880,48:00,112,92,1,45,86,7,16,15,24,11,30,24,12,7,9,8,21,19,,20,1
1610612739216000802016-11-05,2017,2016-11-05,21600080,CLE,1610612739,2880,48:00,102,101,1,37,91,14,38,14,18,11,38,23,16,9,5,9,14,25,,1,0
1610612755216000802016-11-05,2017,2016-11-05,21600080,PHI,1610612755,2880,48:00,101,102,0,40,87,14,38,7,12,5,40,21,17,10,9,5,25,14,,-1,1
1610612753216000812016-11-05,2017,2016-11-05,21600081,ORL,1610612753,2880,48:00,88,86,1,31,78,9,28,17,27,10,33,21,8,4,6,5,16,23,,2,1
1610612764216000812016-11-05,2017,2016-11-05,21600081,WAS,1610612764,2880,48:00,86,88,0,34,86,6,17,12,17,14,35,11,10,4,5,6,23,16,,-2,0
1610612743216000822016-11-05,2017,2016-11-05,21600082,DEN,1610612743,2880,48:00,86,103,0,31,94,7,25,17,20,16,32,15,16,9,2,9,15,17,,-17,0
1610612765216000822016-11-05,2017,2016-11-05,21600082,DET,1610612765,2880,48:00,103,86,1,40,84,7,20,16,22,9,38,22,13,8,9,2,17,15,,17,1
